Points removed: 0, Discriminating Tests: 9517
Points removed: 1, Discriminating Tests: 8609
Points removed: 2, Discriminating Tests: 8043
Points removed: 3, Discriminating Tests: 7188
Points removed: 4, Discriminating Tests: 6465
Points removed: 5, Discriminating Tests: 5906
Points removed: 6, Discriminating Tests: 4836
Points removed: 7, Discriminating Tests: 4940
Points removed: 8, Discriminating Tests: 4083
Points removed: 9, Discriminating Tests: 3325
Points removed: 10, Discriminating Tests: 3468
Points removed: 11, Discriminating Tests: 1541
Points removed: 12, Discriminating Tests: 1692
Points removed: 13, Discriminating Tests: 601
Points removed: 14, Discriminating Tests: 1483
Points removed: 15, Discriminating Tests: 803
Points removed: 16, Discriminating Tests: 1049
Points removed: 17, Discriminating Tests: 993
Points removed: 18, Discriminating Tests: 1295
Points removed: 19, Discriminating Tests: 2100
Points removed: 20, Discriminating Tests: 2812
Points removed: 21, Discriminating Tests: 3186
Points removed: 22, Discriminating Tests: 4305
Points removed: 23, Discriminating Tests: 3848
Points removed: 24, Discriminating Tests: 5068
Points removed: 25, Discriminating Tests: 5308
Points removed: 26, Discriminating Tests: 5112
Points removed: 27, Discriminating Tests: 6379
Points removed: 28, Discriminating Tests: 6404
Points removed: 29, Discriminating Tests: 6669
Points removed: 30, Discriminating Tests: 6872
Points removed: 31, Discriminating Tests: 7829
Points removed: 32, Discriminating Tests: 8636
Points removed: 33, Discriminating Tests: 9137
Points removed: 34, Discriminating Tests: 9220
Points removed: 35, Discriminating Tests: 9349
Points removed: 36, Discriminating Tests: 10195
Points removed: 37, Discriminating Tests: 10248
Points removed: 38, Discriminating Tests: 10984
Points removed: 39, Discriminating Tests: 11556
Points removed: 40, Discriminating Tests: 12274
Points removed: 41, Discriminating Tests: 12696
Points removed: 42, Discriminating Tests: 12570
Points removed: 43, Discriminating Tests: 12682
Points removed: 44, Discriminating Tests: 13747
Points removed: 45, Discriminating Tests: 14647
Points removed: 46, Discriminating Tests: 14805
Points removed: 47, Discriminating Tests: 15492
Points removed: 48, Discriminating Tests: 15777
Points removed: 49, Discriminating Tests: 15909
Points removed: 50, Discriminating Tests: 16200
Points removed: 51, Discriminating Tests: 17150
Points removed: 52, Discriminating Tests: 17533
Points removed: 53, Discriminating Tests: 17214
Points removed: 54, Discriminating Tests: 18172
Points removed: 55, Discriminating Tests: 18149
Points removed: 56, Discriminating Tests: 18296
Points removed: 57, Discriminating Tests: 20226
Points removed: 58, Discriminating Tests: 19859
Points removed: 59, Discriminating Tests: 20142
Points removed: 60, Discriminating Tests: 20008
Points removed: 61, Discriminating Tests: 20065
Points removed: 62, Discriminating Tests: 19826
Points removed: 63, Discriminating Tests: 20781
Points removed: 64, Discriminating Tests: 20393
Points removed: 65, Discriminating Tests: 20410
Points removed: 66, Discriminating Tests: 21640
Points removed: 67, Discriminating Tests: 21639
Points removed: 68, Discriminating Tests: 22582
Points removed: 69, Discriminating Tests: 23263
Points removed: 70, Discriminating Tests: 22577
Points removed: 71, Discriminating Tests: 23778
Points removed: 72, Discriminating Tests: 23510
Points removed: 73, Discriminating Tests: 23811
Points removed: 74, Discriminating Tests: 24086
Points removed: 75, Discriminating Tests: 24209
Points removed: 76, Discriminating Tests: 24770
Points removed: 77, Discriminating Tests: 24489
Points removed: 78, Discriminating Tests: 25345
Points removed: 79, Discriminating Tests: 26062
Points removed: 80, Discriminating Tests: 26329
Points removed: 81, Discriminating Tests: 26473
Points removed: 82, Discriminating Tests: 26668
Points removed: 83, Discriminating Tests: 26924
Points removed: 84, Discriminating Tests: 27485
Points removed: 85, Discriminating Tests: 27344
Points removed: 86, Discriminating Tests: 29480
Points removed: 87, Discriminating Tests: 28937
Points removed: 88, Discriminating Tests: 29773
Points removed: 89, Discriminating Tests: 29937
Points removed: 90, Discriminating Tests: 30961
Points removed: 91, Discriminating Tests: 30896
Points removed: 92, Discriminating Tests: 31090
Points removed: 93, Discriminating Tests: 31544
Points removed: 94, Discriminating Tests: 31355
Points removed: 95, Discriminating Tests: 32172
Points removed: 96, Discriminating Tests: 32591
Points removed: 97, Discriminating Tests: 31943
Points removed: 98, Discriminating Tests: 33711
Points removed: 99, Discriminating Tests: 33826
Points removed: 100, Discriminating Tests: 34370
Points removed: 101, Discriminating Tests: 34942
Points removed: 102, Discriminating Tests: 35674
Points removed: 103, Discriminating Tests: 35478
Points removed: 104, Discriminating Tests: 37120
Points removed: 105, Discriminating Tests: 36949
Points removed: 106, Discriminating Tests: 37713
Points removed: 107, Discriminating Tests: 37488
Points removed: 108, Discriminating Tests: 36836
Points removed: 109, Discriminating Tests: 37362
Points removed: 110, Discriminating Tests: 36702
Points removed: 111, Discriminating Tests: 38017
Points removed: 112, Discriminating Tests: 38680
Points removed: 113, Discriminating Tests: 38412
Points removed: 114, Discriminating Tests: 37990
Points removed: 115, Discriminating Tests: 38089
Points removed: 116, Discriminating Tests: 37560
Points removed: 117, Discriminating Tests: 38316
Points removed: 118, Discriminating Tests: 38399
Points removed: 119, Discriminating Tests: 39029
