Points removed: 0, Discriminating Tests: 8193
Points removed: 1, Discriminating Tests: 6790
Points removed: 2, Discriminating Tests: 6246
Points removed: 3, Discriminating Tests: 5256
Points removed: 4, Discriminating Tests: 5080
Points removed: 5, Discriminating Tests: 4099
Points removed: 6, Discriminating Tests: 2993
Points removed: 7, Discriminating Tests: 2740
Points removed: 8, Discriminating Tests: 2201
Points removed: 9, Discriminating Tests: 865
Points removed: 10, Discriminating Tests: 1209
Points removed: 11, Discriminating Tests: 657
Points removed: 12, Discriminating Tests: 573
Points removed: 13, Discriminating Tests: 1571
Points removed: 14, Discriminating Tests: 987
Points removed: 15, Discriminating Tests: 1661
Points removed: 16, Discriminating Tests: 3033
Points removed: 17, Discriminating Tests: 3681
Points removed: 18, Discriminating Tests: 4145
Points removed: 19, Discriminating Tests: 4804
Points removed: 20, Discriminating Tests: 5346
Points removed: 21, Discriminating Tests: 6145
Points removed: 22, Discriminating Tests: 6640
Points removed: 23, Discriminating Tests: 6294
Points removed: 24, Discriminating Tests: 7846
Points removed: 25, Discriminating Tests: 7693
Points removed: 26, Discriminating Tests: 7816
Points removed: 27, Discriminating Tests: 9117
Points removed: 28, Discriminating Tests: 9180
Points removed: 29, Discriminating Tests: 10153
Points removed: 30, Discriminating Tests: 10347
Points removed: 31, Discriminating Tests: 10733
Points removed: 32, Discriminating Tests: 11274
Points removed: 33, Discriminating Tests: 11980
Points removed: 34, Discriminating Tests: 12210
Points removed: 35, Discriminating Tests: 12790
Points removed: 36, Discriminating Tests: 13459
Points removed: 37, Discriminating Tests: 14086
Points removed: 38, Discriminating Tests: 14956
Points removed: 39, Discriminating Tests: 15398
Points removed: 40, Discriminating Tests: 15967
Points removed: 41, Discriminating Tests: 16166
Points removed: 42, Discriminating Tests: 16181
Points removed: 43, Discriminating Tests: 16978
Points removed: 44, Discriminating Tests: 17939
Points removed: 45, Discriminating Tests: 18066
Points removed: 46, Discriminating Tests: 19651
Points removed: 47, Discriminating Tests: 19703
Points removed: 48, Discriminating Tests: 20192
Points removed: 49, Discriminating Tests: 20335
Points removed: 50, Discriminating Tests: 21415
Points removed: 51, Discriminating Tests: 22750
Points removed: 52, Discriminating Tests: 23714
Points removed: 53, Discriminating Tests: 22539
Points removed: 54, Discriminating Tests: 24132
Points removed: 55, Discriminating Tests: 24003
Points removed: 56, Discriminating Tests: 24251
Points removed: 57, Discriminating Tests: 27014
Points removed: 58, Discriminating Tests: 26319
Points removed: 59, Discriminating Tests: 26283
Points removed: 60, Discriminating Tests: 26024
Points removed: 61, Discriminating Tests: 26897
Points removed: 62, Discriminating Tests: 27251
Points removed: 63, Discriminating Tests: 29499
Points removed: 64, Discriminating Tests: 29295
Points removed: 65, Discriminating Tests: 28864
Points removed: 66, Discriminating Tests: 30212
Points removed: 67, Discriminating Tests: 30592
Points removed: 68, Discriminating Tests: 32250
Points removed: 69, Discriminating Tests: 31966
Points removed: 70, Discriminating Tests: 32782
Points removed: 71, Discriminating Tests: 32869
Points removed: 72, Discriminating Tests: 33118
Points removed: 73, Discriminating Tests: 33610
Points removed: 74, Discriminating Tests: 32828
Points removed: 75, Discriminating Tests: 34169
Points removed: 76, Discriminating Tests: 33524
Points removed: 77, Discriminating Tests: 33841
Points removed: 78, Discriminating Tests: 34587
Points removed: 79, Discriminating Tests: 35981
Points removed: 80, Discriminating Tests: 36397
Points removed: 81, Discriminating Tests: 35950
Points removed: 82, Discriminating Tests: 37544
Points removed: 83, Discriminating Tests: 38189
Points removed: 84, Discriminating Tests: 37857
Points removed: 85, Discriminating Tests: 38432
Points removed: 86, Discriminating Tests: 39058
Points removed: 87, Discriminating Tests: 39330
Points removed: 88, Discriminating Tests: 39935
Points removed: 89, Discriminating Tests: 39469
Points removed: 90, Discriminating Tests: 39796
Points removed: 91, Discriminating Tests: 39115
Points removed: 92, Discriminating Tests: 39348
Points removed: 93, Discriminating Tests: 39679
Points removed: 94, Discriminating Tests: 39293
Points removed: 95, Discriminating Tests: 39622
Points removed: 96, Discriminating Tests: 39868
Points removed: 97, Discriminating Tests: 40212
Points removed: 98, Discriminating Tests: 41867
Points removed: 99, Discriminating Tests: 40829
Points removed: 100, Discriminating Tests: 41663
Points removed: 101, Discriminating Tests: 42737
Points removed: 102, Discriminating Tests: 42140
Points removed: 103, Discriminating Tests: 43300
Points removed: 104, Discriminating Tests: 44604
Points removed: 105, Discriminating Tests: 43869
Points removed: 106, Discriminating Tests: 45706
Points removed: 107, Discriminating Tests: 45979
Points removed: 108, Discriminating Tests: 44851
Points removed: 109, Discriminating Tests: 45481
Points removed: 110, Discriminating Tests: 45667
Points removed: 111, Discriminating Tests: 47755
Points removed: 112, Discriminating Tests: 46752
Points removed: 113, Discriminating Tests: 46658
Points removed: 114, Discriminating Tests: 46800
Points removed: 115, Discriminating Tests: 47753
Points removed: 116, Discriminating Tests: 46304
Points removed: 117, Discriminating Tests: 46935
Points removed: 118, Discriminating Tests: 47502
Points removed: 119, Discriminating Tests: 48455
