Points removed: 0, Discriminating Tests: 10076
Points removed: 1, Discriminating Tests: 9500
Points removed: 2, Discriminating Tests: 8806
Points removed: 3, Discriminating Tests: 8282
Points removed: 4, Discriminating Tests: 8130
Points removed: 5, Discriminating Tests: 6246
Points removed: 6, Discriminating Tests: 5465
Points removed: 7, Discriminating Tests: 5022
Points removed: 8, Discriminating Tests: 5203
Points removed: 9, Discriminating Tests: 3089
Points removed: 10, Discriminating Tests: 3949
Points removed: 11, Discriminating Tests: 2021
Points removed: 12, Discriminating Tests: 2516
Points removed: 13, Discriminating Tests: 1187
Points removed: 14, Discriminating Tests: 1941
Points removed: 15, Discriminating Tests: 1569
Points removed: 16, Discriminating Tests: 701
Points removed: 17, Discriminating Tests: 994
Points removed: 18, Discriminating Tests: 554
Points removed: 19, Discriminating Tests: 1608
Points removed: 20, Discriminating Tests: 2761
Points removed: 21, Discriminating Tests: 3189
Points removed: 22, Discriminating Tests: 4020
Points removed: 23, Discriminating Tests: 4076
Points removed: 24, Discriminating Tests: 4984
Points removed: 25, Discriminating Tests: 5017
Points removed: 26, Discriminating Tests: 5401
Points removed: 27, Discriminating Tests: 6793
Points removed: 28, Discriminating Tests: 6894
Points removed: 29, Discriminating Tests: 7536
Points removed: 30, Discriminating Tests: 7720
Points removed: 31, Discriminating Tests: 8571
Points removed: 32, Discriminating Tests: 9100
Points removed: 33, Discriminating Tests: 10570
Points removed: 34, Discriminating Tests: 10032
Points removed: 35, Discriminating Tests: 10292
Points removed: 36, Discriminating Tests: 10891
Points removed: 37, Discriminating Tests: 11959
Points removed: 38, Discriminating Tests: 12753
Points removed: 39, Discriminating Tests: 12505
Points removed: 40, Discriminating Tests: 13602
Points removed: 41, Discriminating Tests: 14496
Points removed: 42, Discriminating Tests: 14432
Points removed: 43, Discriminating Tests: 15125
Points removed: 44, Discriminating Tests: 15351
Points removed: 45, Discriminating Tests: 16144
Points removed: 46, Discriminating Tests: 15502
Points removed: 47, Discriminating Tests: 16345
Points removed: 48, Discriminating Tests: 16286
Points removed: 49, Discriminating Tests: 16931
Points removed: 50, Discriminating Tests: 22056
Points removed: 51, Discriminating Tests: 18203
Points removed: 52, Discriminating Tests: 17534
Points removed: 53, Discriminating Tests: 18411
Points removed: 54, Discriminating Tests: 17890
Points removed: 55, Discriminating Tests: 19393
Points removed: 56, Discriminating Tests: 19429
Points removed: 57, Discriminating Tests: 19759
Points removed: 58, Discriminating Tests: 21080
Points removed: 59, Discriminating Tests: 20355
Points removed: 60, Discriminating Tests: 20347
Points removed: 61, Discriminating Tests: 20093
Points removed: 62, Discriminating Tests: 20782
Points removed: 63, Discriminating Tests: 21319
Points removed: 64, Discriminating Tests: 20987
Points removed: 65, Discriminating Tests: 21110
Points removed: 66, Discriminating Tests: 22793
Points removed: 67, Discriminating Tests: 22484
Points removed: 68, Discriminating Tests: 22868
Points removed: 69, Discriminating Tests: 23231
Points removed: 70, Discriminating Tests: 24499
Points removed: 71, Discriminating Tests: 24434
Points removed: 72, Discriminating Tests: 25913
Points removed: 73, Discriminating Tests: 24892
Points removed: 74, Discriminating Tests: 25596
Points removed: 75, Discriminating Tests: 26043
Points removed: 76, Discriminating Tests: 26721
Points removed: 77, Discriminating Tests: 27452
Points removed: 78, Discriminating Tests: 27801
Points removed: 79, Discriminating Tests: 28335
