Points removed: 0, Discriminating Tests: 9732
Points removed: 1, Discriminating Tests: 8270
Points removed: 2, Discriminating Tests: 8148
Points removed: 3, Discriminating Tests: 7223
Points removed: 4, Discriminating Tests: 6304
Points removed: 5, Discriminating Tests: 5900
Points removed: 6, Discriminating Tests: 5049
Points removed: 7, Discriminating Tests: 4755
Points removed: 8, Discriminating Tests: 4478
Points removed: 9, Discriminating Tests: 3152
Points removed: 10, Discriminating Tests: 3445
Points removed: 11, Discriminating Tests: 1674
Points removed: 12, Discriminating Tests: 1870
Points removed: 13, Discriminating Tests: 563
Points removed: 14, Discriminating Tests: 1558
Points removed: 15, Discriminating Tests: 797
Points removed: 16, Discriminating Tests: 651
Points removed: 17, Discriminating Tests: 1030
Points removed: 18, Discriminating Tests: 1564
Points removed: 19, Discriminating Tests: 1932
Points removed: 20, Discriminating Tests: 2603
Points removed: 21, Discriminating Tests: 3197
Points removed: 22, Discriminating Tests: 4130
Points removed: 23, Discriminating Tests: 3787
Points removed: 24, Discriminating Tests: 5037
Points removed: 25, Discriminating Tests: 4669
Points removed: 26, Discriminating Tests: 5251
Points removed: 27, Discriminating Tests: 6568
Points removed: 28, Discriminating Tests: 6544
Points removed: 29, Discriminating Tests: 6712
Points removed: 30, Discriminating Tests: 7222
Points removed: 31, Discriminating Tests: 7872
Points removed: 32, Discriminating Tests: 8548
Points removed: 33, Discriminating Tests: 8700
Points removed: 34, Discriminating Tests: 8668
Points removed: 35, Discriminating Tests: 9102
Points removed: 36, Discriminating Tests: 9804
Points removed: 37, Discriminating Tests: 10153
Points removed: 38, Discriminating Tests: 11401
Points removed: 39, Discriminating Tests: 11732
Points removed: 40, Discriminating Tests: 12104
Points removed: 41, Discriminating Tests: 12774
Points removed: 42, Discriminating Tests: 12538
Points removed: 43, Discriminating Tests: 13471
Points removed: 44, Discriminating Tests: 13910
Points removed: 45, Discriminating Tests: 14631
Points removed: 46, Discriminating Tests: 14266
Points removed: 47, Discriminating Tests: 15631
Points removed: 48, Discriminating Tests: 15748
Points removed: 49, Discriminating Tests: 16136
Points removed: 50, Discriminating Tests: 16201
Points removed: 51, Discriminating Tests: 17323
Points removed: 52, Discriminating Tests: 18000
Points removed: 53, Discriminating Tests: 16992
Points removed: 54, Discriminating Tests: 17827
Points removed: 55, Discriminating Tests: 18369
Points removed: 56, Discriminating Tests: 19045
Points removed: 57, Discriminating Tests: 19643
Points removed: 58, Discriminating Tests: 19682
Points removed: 59, Discriminating Tests: 19661
Points removed: 60, Discriminating Tests: 20657
Points removed: 61, Discriminating Tests: 20117
Points removed: 62, Discriminating Tests: 19720
Points removed: 63, Discriminating Tests: 20899
Points removed: 64, Discriminating Tests: 21029
Points removed: 65, Discriminating Tests: 20329
Points removed: 66, Discriminating Tests: 22014
Points removed: 67, Discriminating Tests: 22191
Points removed: 68, Discriminating Tests: 22289
Points removed: 69, Discriminating Tests: 22547
Points removed: 70, Discriminating Tests: 22996
Points removed: 71, Discriminating Tests: 23274
Points removed: 72, Discriminating Tests: 23322
Points removed: 73, Discriminating Tests: 23601
Points removed: 74, Discriminating Tests: 24571
Points removed: 75, Discriminating Tests: 24998
Points removed: 76, Discriminating Tests: 25307
Points removed: 77, Discriminating Tests: 24564
Points removed: 78, Discriminating Tests: 25807
Points removed: 79, Discriminating Tests: 25936
