Points removed: 0, Discriminating Tests: 9971
Points removed: 1, Discriminating Tests: 9053
Points removed: 2, Discriminating Tests: 8895
Points removed: 3, Discriminating Tests: 8276
Points removed: 4, Discriminating Tests: 7343
Points removed: 5, Discriminating Tests: 6247
Points removed: 6, Discriminating Tests: 5815
Points removed: 7, Discriminating Tests: 5286
Points removed: 8, Discriminating Tests: 5058
Points removed: 9, Discriminating Tests: 3681
Points removed: 10, Discriminating Tests: 3520
Points removed: 11, Discriminating Tests: 1963
Points removed: 12, Discriminating Tests: 2403
Points removed: 13, Discriminating Tests: 1008
Points removed: 14, Discriminating Tests: 1606
Points removed: 15, Discriminating Tests: 858
Points removed: 16, Discriminating Tests: 955
Points removed: 17, Discriminating Tests: 830
Points removed: 18, Discriminating Tests: 1402
Points removed: 19, Discriminating Tests: 2000
Points removed: 20, Discriminating Tests: 2576
Points removed: 21, Discriminating Tests: 3100
Points removed: 22, Discriminating Tests: 3957
Points removed: 23, Discriminating Tests: 4301
Points removed: 24, Discriminating Tests: 5276
Points removed: 25, Discriminating Tests: 4980
Points removed: 26, Discriminating Tests: 5572
Points removed: 27, Discriminating Tests: 7161
Points removed: 28, Discriminating Tests: 7018
Points removed: 29, Discriminating Tests: 7468
Points removed: 30, Discriminating Tests: 8120
Points removed: 31, Discriminating Tests: 8714
Points removed: 32, Discriminating Tests: 9160
Points removed: 33, Discriminating Tests: 10732
Points removed: 34, Discriminating Tests: 9781
Points removed: 35, Discriminating Tests: 10290
Points removed: 36, Discriminating Tests: 11249
Points removed: 37, Discriminating Tests: 11791
Points removed: 38, Discriminating Tests: 12847
Points removed: 39, Discriminating Tests: 13133
Points removed: 40, Discriminating Tests: 13788
Points removed: 41, Discriminating Tests: 14652
Points removed: 42, Discriminating Tests: 14017
Points removed: 43, Discriminating Tests: 14677
Points removed: 44, Discriminating Tests: 15420
Points removed: 45, Discriminating Tests: 16250
Points removed: 46, Discriminating Tests: 15714
Points removed: 47, Discriminating Tests: 17086
Points removed: 48, Discriminating Tests: 17170
Points removed: 49, Discriminating Tests: 16931
Points removed: 50, Discriminating Tests: 17127
Points removed: 51, Discriminating Tests: 17832
Points removed: 52, Discriminating Tests: 17584
Points removed: 53, Discriminating Tests: 18582
Points removed: 54, Discriminating Tests: 18706
Points removed: 55, Discriminating Tests: 18476
Points removed: 56, Discriminating Tests: 18910
Points removed: 57, Discriminating Tests: 20325
Points removed: 58, Discriminating Tests: 20885
Points removed: 59, Discriminating Tests: 20358
Points removed: 60, Discriminating Tests: 20296
Points removed: 61, Discriminating Tests: 20072
Points removed: 62, Discriminating Tests: 20896
Points removed: 63, Discriminating Tests: 22062
Points removed: 64, Discriminating Tests: 21416
Points removed: 65, Discriminating Tests: 22018
Points removed: 66, Discriminating Tests: 22907
Points removed: 67, Discriminating Tests: 22155
Points removed: 68, Discriminating Tests: 23407
Points removed: 69, Discriminating Tests: 23914
Points removed: 70, Discriminating Tests: 24350
Points removed: 71, Discriminating Tests: 25179
Points removed: 72, Discriminating Tests: 25358
Points removed: 73, Discriminating Tests: 24847
Points removed: 74, Discriminating Tests: 25920
Points removed: 75, Discriminating Tests: 26328
Points removed: 76, Discriminating Tests: 26389
Points removed: 77, Discriminating Tests: 27256
Points removed: 78, Discriminating Tests: 27527
Points removed: 79, Discriminating Tests: 28134
