Points removed: 0, Discriminating Tests: 7968
Points removed: 1, Discriminating Tests: 7489
Points removed: 2, Discriminating Tests: 6667
Points removed: 3, Discriminating Tests: 5722
Points removed: 4, Discriminating Tests: 5336
Points removed: 5, Discriminating Tests: 4216
Points removed: 6, Discriminating Tests: 3411
Points removed: 7, Discriminating Tests: 2817
Points removed: 8, Discriminating Tests: 1992
Points removed: 9, Discriminating Tests: 746
Points removed: 10, Discriminating Tests: 776
Points removed: 11, Discriminating Tests: 1037
Points removed: 12, Discriminating Tests: 866
Points removed: 13, Discriminating Tests: 2375
Points removed: 14, Discriminating Tests: 1054
Points removed: 15, Discriminating Tests: 2402
Points removed: 16, Discriminating Tests: 4180
Points removed: 17, Discriminating Tests: 4363
Points removed: 18, Discriminating Tests: 4354
Points removed: 19, Discriminating Tests: 5539
Points removed: 20, Discriminating Tests: 6861
Points removed: 21, Discriminating Tests: 7624
Points removed: 22, Discriminating Tests: 8034
Points removed: 23, Discriminating Tests: 8039
Points removed: 24, Discriminating Tests: 9674
Points removed: 25, Discriminating Tests: 9116
Points removed: 26, Discriminating Tests: 9365
Points removed: 27, Discriminating Tests: 11268
Points removed: 28, Discriminating Tests: 10863
Points removed: 29, Discriminating Tests: 11065
Points removed: 30, Discriminating Tests: 11881
Points removed: 31, Discriminating Tests: 12436
Points removed: 32, Discriminating Tests: 13066
Points removed: 33, Discriminating Tests: 15057
Points removed: 34, Discriminating Tests: 14566
Points removed: 35, Discriminating Tests: 15424
Points removed: 36, Discriminating Tests: 16418
Points removed: 37, Discriminating Tests: 17296
Points removed: 38, Discriminating Tests: 18090
Points removed: 39, Discriminating Tests: 18554
Points removed: 40, Discriminating Tests: 19657
Points removed: 41, Discriminating Tests: 19811
Points removed: 42, Discriminating Tests: 19973
Points removed: 43, Discriminating Tests: 20907
Points removed: 44, Discriminating Tests: 21934
Points removed: 45, Discriminating Tests: 22840
Points removed: 46, Discriminating Tests: 23440
Points removed: 47, Discriminating Tests: 25044
Points removed: 48, Discriminating Tests: 24561
Points removed: 49, Discriminating Tests: 25008
Points removed: 50, Discriminating Tests: 25986
Points removed: 51, Discriminating Tests: 26505
Points removed: 52, Discriminating Tests: 26876
Points removed: 53, Discriminating Tests: 25614
Points removed: 54, Discriminating Tests: 26563
Points removed: 55, Discriminating Tests: 27597
Points removed: 56, Discriminating Tests: 27307
Points removed: 57, Discriminating Tests: 29409
Points removed: 58, Discriminating Tests: 30184
Points removed: 59, Discriminating Tests: 30156
Points removed: 60, Discriminating Tests: 29850
Points removed: 61, Discriminating Tests: 30328
Points removed: 62, Discriminating Tests: 31478
Points removed: 63, Discriminating Tests: 32311
Points removed: 64, Discriminating Tests: 32534
Points removed: 65, Discriminating Tests: 32853
Points removed: 66, Discriminating Tests: 34392
Points removed: 67, Discriminating Tests: 34068
Points removed: 68, Discriminating Tests: 34568
Points removed: 69, Discriminating Tests: 34670
Points removed: 70, Discriminating Tests: 35684
Points removed: 71, Discriminating Tests: 35874
Points removed: 72, Discriminating Tests: 35993
Points removed: 73, Discriminating Tests: 36472
Points removed: 74, Discriminating Tests: 36459
Points removed: 75, Discriminating Tests: 37015
Points removed: 76, Discriminating Tests: 36513
Points removed: 77, Discriminating Tests: 35937
Points removed: 78, Discriminating Tests: 36226
Points removed: 79, Discriminating Tests: 37924
