Points removed: 0, Discriminating Tests: 10113
Points removed: 1, Discriminating Tests: 9491
Points removed: 2, Discriminating Tests: 8814
Points removed: 3, Discriminating Tests: 8088
Points removed: 4, Discriminating Tests: 7370
Points removed: 5, Discriminating Tests: 6361
Points removed: 6, Discriminating Tests: 5293
Points removed: 7, Discriminating Tests: 5491
Points removed: 8, Discriminating Tests: 4884
Points removed: 9, Discriminating Tests: 3488
Points removed: 10, Discriminating Tests: 4450
Points removed: 11, Discriminating Tests: 1953
Points removed: 12, Discriminating Tests: 2327
Points removed: 13, Discriminating Tests: 878
Points removed: 14, Discriminating Tests: 1698
Points removed: 15, Discriminating Tests: 1089
Points removed: 16, Discriminating Tests: 1054
Points removed: 17, Discriminating Tests: 1147
Points removed: 18, Discriminating Tests: 523
Points removed: 19, Discriminating Tests: 1908
Points removed: 20, Discriminating Tests: 2659
Points removed: 21, Discriminating Tests: 3080
Points removed: 22, Discriminating Tests: 4538
Points removed: 23, Discriminating Tests: 3755
Points removed: 24, Discriminating Tests: 5215
Points removed: 25, Discriminating Tests: 5031
Points removed: 26, Discriminating Tests: 5521
Points removed: 27, Discriminating Tests: 6965
Points removed: 28, Discriminating Tests: 6971
Points removed: 29, Discriminating Tests: 7304
Points removed: 30, Discriminating Tests: 8021
Points removed: 31, Discriminating Tests: 8679
Points removed: 32, Discriminating Tests: 8991
Points removed: 33, Discriminating Tests: 10415
Points removed: 34, Discriminating Tests: 10103
Points removed: 35, Discriminating Tests: 10503
Points removed: 36, Discriminating Tests: 11036
Points removed: 37, Discriminating Tests: 12074
Points removed: 38, Discriminating Tests: 12567
Points removed: 39, Discriminating Tests: 12834
Points removed: 40, Discriminating Tests: 14050
Points removed: 41, Discriminating Tests: 14960
Points removed: 42, Discriminating Tests: 14490
Points removed: 43, Discriminating Tests: 14808
Points removed: 44, Discriminating Tests: 15498
Points removed: 45, Discriminating Tests: 15870
Points removed: 46, Discriminating Tests: 15606
Points removed: 47, Discriminating Tests: 17253
Points removed: 48, Discriminating Tests: 17200
Points removed: 49, Discriminating Tests: 16676
Points removed: 50, Discriminating Tests: 17767
Points removed: 51, Discriminating Tests: 18707
Points removed: 52, Discriminating Tests: 18549
Points removed: 53, Discriminating Tests: 17978
Points removed: 54, Discriminating Tests: 18612
Points removed: 55, Discriminating Tests: 18889
Points removed: 56, Discriminating Tests: 18937
Points removed: 57, Discriminating Tests: 20559
Points removed: 58, Discriminating Tests: 20266
Points removed: 59, Discriminating Tests: 21407
Points removed: 60, Discriminating Tests: 20791
Points removed: 61, Discriminating Tests: 20484
Points removed: 62, Discriminating Tests: 21151
Points removed: 63, Discriminating Tests: 21284
Points removed: 64, Discriminating Tests: 20992
Points removed: 65, Discriminating Tests: 21759
Points removed: 66, Discriminating Tests: 22904
Points removed: 67, Discriminating Tests: 22488
Points removed: 68, Discriminating Tests: 23498
Points removed: 69, Discriminating Tests: 24782
Points removed: 70, Discriminating Tests: 25078
Points removed: 71, Discriminating Tests: 25643
Points removed: 72, Discriminating Tests: 26304
Points removed: 73, Discriminating Tests: 26506
Points removed: 74, Discriminating Tests: 27283
Points removed: 75, Discriminating Tests: 27213
Points removed: 76, Discriminating Tests: 27053
Points removed: 77, Discriminating Tests: 27202
Points removed: 78, Discriminating Tests: 27641
Points removed: 79, Discriminating Tests: 27858
