Points removed: 0, Discriminating Tests: 10032
Points removed: 1, Discriminating Tests: 9601
Points removed: 2, Discriminating Tests: 8601
Points removed: 3, Discriminating Tests: 8180
Points removed: 4, Discriminating Tests: 7373
Points removed: 5, Discriminating Tests: 6435
Points removed: 6, Discriminating Tests: 5362
Points removed: 7, Discriminating Tests: 5243
Points removed: 8, Discriminating Tests: 4603
Points removed: 9, Discriminating Tests: 3443
Points removed: 10, Discriminating Tests: 3755
Points removed: 11, Discriminating Tests: 1979
Points removed: 12, Discriminating Tests: 2218
Points removed: 13, Discriminating Tests: 891
Points removed: 14, Discriminating Tests: 1818
Points removed: 15, Discriminating Tests: 606
Points removed: 16, Discriminating Tests: 694
Points removed: 17, Discriminating Tests: 890
Points removed: 18, Discriminating Tests: 1150
Points removed: 19, Discriminating Tests: 2005
Points removed: 20, Discriminating Tests: 2807
Points removed: 21, Discriminating Tests: 3122
Points removed: 22, Discriminating Tests: 4293
Points removed: 23, Discriminating Tests: 4219
Points removed: 24, Discriminating Tests: 5259
Points removed: 25, Discriminating Tests: 5210
Points removed: 26, Discriminating Tests: 5218
Points removed: 27, Discriminating Tests: 6951
Points removed: 28, Discriminating Tests: 6880
Points removed: 29, Discriminating Tests: 7481
Points removed: 30, Discriminating Tests: 7927
Points removed: 31, Discriminating Tests: 8815
Points removed: 32, Discriminating Tests: 9402
Points removed: 33, Discriminating Tests: 10492
Points removed: 34, Discriminating Tests: 9828
Points removed: 35, Discriminating Tests: 10408
Points removed: 36, Discriminating Tests: 11337
Points removed: 37, Discriminating Tests: 11887
Points removed: 38, Discriminating Tests: 12670
Points removed: 39, Discriminating Tests: 13089
Points removed: 40, Discriminating Tests: 13651
Points removed: 41, Discriminating Tests: 14393
Points removed: 42, Discriminating Tests: 14439
Points removed: 43, Discriminating Tests: 15133
Points removed: 44, Discriminating Tests: 15669
Points removed: 45, Discriminating Tests: 16035
Points removed: 46, Discriminating Tests: 15907
Points removed: 47, Discriminating Tests: 17048
Points removed: 48, Discriminating Tests: 17485
Points removed: 49, Discriminating Tests: 16897
Points removed: 50, Discriminating Tests: 17806
Points removed: 51, Discriminating Tests: 18719
Points removed: 52, Discriminating Tests: 18009
Points removed: 53, Discriminating Tests: 18429
Points removed: 54, Discriminating Tests: 18874
Points removed: 55, Discriminating Tests: 19375
Points removed: 56, Discriminating Tests: 19866
Points removed: 57, Discriminating Tests: 21019
Points removed: 58, Discriminating Tests: 21166
Points removed: 59, Discriminating Tests: 19961
Points removed: 60, Discriminating Tests: 20718
Points removed: 61, Discriminating Tests: 20501
Points removed: 62, Discriminating Tests: 21074
Points removed: 63, Discriminating Tests: 21557
Points removed: 64, Discriminating Tests: 20894
Points removed: 65, Discriminating Tests: 21363
Points removed: 66, Discriminating Tests: 23128
Points removed: 67, Discriminating Tests: 22320
Points removed: 68, Discriminating Tests: 23124
Points removed: 69, Discriminating Tests: 23164
Points removed: 70, Discriminating Tests: 24426
Points removed: 71, Discriminating Tests: 24898
Points removed: 72, Discriminating Tests: 24942
Points removed: 73, Discriminating Tests: 24828
Points removed: 74, Discriminating Tests: 26051
Points removed: 75, Discriminating Tests: 26602
Points removed: 76, Discriminating Tests: 26395
Points removed: 77, Discriminating Tests: 27227
Points removed: 78, Discriminating Tests: 26992
Points removed: 79, Discriminating Tests: 28469
